5,18,2,1,151,23,1,1,0,0,0,2,151,37,0,0,0,0,0,0,151,32,0,0,0,0,0,0,151,19,0,0,0,0,0,3,151,9,0,0,0,0,0,7,151,13,0,0,0,0,0,7,151,16,0,0,0,0,0,15,151,18,0,0,0,0,0,9,64,5,0,0,0,0,0,1,151,5,0,0,0,0,0,4,151,10,0,0,0,0,0,13,151,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,32,1,0,0,0,0,0,3
10,38,2,1,117,1,0,0,0,0,0,12,134,0,0,0,0,0,0,30,134,0,0,0,0,0,0,28,134,1,0,0,0,0,0,18,134,2,0,0,0,0,0,12,134,6,0,0,0,0,0,16,134,21,0,0,0,0,0,20,134,4,0,0,0,0,0,23,134,2,0,0,0,0,0,22,134,7,0,0,0,0,0,9,134,7,0,0,0,0,0,26,134,3,0,0,0,0,0,23,56,0,0,0,0,0,0,11,109,2,0,0,0,0,0,8,121,1,0,0,0,0,0,8,112,1,0,0,0,0,0,18
20,90,2,0,105,34,10,1,0,0,1,54,54,78,23,4,4,30,42,121,68,52,6,5,8,79,64,44,43,25,4,6,3,0,2,11,117,79,43,12,0,0,0,34,121,121,81,20,6,7,5,42,64,121,121,33,13,18,9,7,29,49,18,38,7,2,0,1,65,41,61,60,21,27,7,21,121,36,14,8,7,13,13,104,38,17,25,3,5,30,78,59,25,5,3,7,5,24,45,26,17,46,59,66,17,21,5,4,92,84,18,8,4,9,14,28,19,2,6,9,4,8,25,34,46,7,2,5,0,3,17,14
26,140,2,0,3,3,21,93,5,0,0,0,33,6,5,118,58,0,0,0,146,26,0,5,5,0,0,0,146,7,0,8,28,5,0,3,2,1,4,23,17,11,6,4,37,2,0,71,146,10,3,2,146,7,0,6,22,0,0,7,146,2,0,3,39,7,0,7,2,5,7,2,9,35,10,2,26,4,5,53,137,12,4,0,146,6,0,15,31,0,0,5,146,5,0,4,28,13,1,4,17,13,6,1,9,13,3,6,16,2,4,7,83,65,0,0,146,8,1,1,24,7,1,17,96,7,0,0,16,37,13,17
29,83,2,0,117,86,89,20,1,8,29,42,8,90,81,27,10,16,33,22,27,38,22,48,17,12,8,3,75,85,2,0,0,0,0,0,117,27,2,3,7,28,58,72,12,3,4,9,5,28,117,117,117,7,1,3,5,28,82,48,117,17,0,0,0,0,2,70,50,20,4,5,3,5,29,92,31,20,9,33,7,2,21,22,117,45,1,3,0,0,9,19,109,53,0,0,0,0,3,43,117,38,1,0,6,10,16,75,53,31,9,4,2,5,3,13,117,50,0,0,0,0,0,2,72,31,0,0,0,0,0,28
29,83,2,0,41,92,99,12,0,0,17,17,34,75,60,27,5,4,5,7,74,101,115,10,3,2,8,39,21,31,95,113,115,21,4,10,4,29,61,27,8,3,2,3,28,26,26,11,13,32,4,5,115,93,9,4,5,7,6,46,20,12,14,94,53,32,12,17,1,7,115,21,2,1,0,1,8,29,115,25,2,4,0,1,66,66,115,2,0,3,4,33,6,6,55,38,18,34,9,12,2,24,78,18,0,0,0,0,4,35,115,38,0,0,0,0,9,99,101,7,0,0,0,0,0,7,97,49,0,0,0,0
31,15,2,1,75,3,0,1,11,15,0,9,130,9,0,0,0,0,0,14,130,0,0,0,0,0,0,19,125,0,0,0,0,0,0,23,117,4,0,0,11,15,1,21,130,17,0,0,0,0,0,19,130,11,0,0,0,0,0,10,130,5,0,0,0,0,0,11,130,17,0,0,6,5,0,2,130,19,0,0,0,0,0,12,130,13,0,0,0,0,0,17,130,23,0,0,0,0,0,2,130,8,0,0,0,1,0,3,130,21,0,0,0,0,0,2,130,15,0,0,0,0,0,2,125,6,0,0,0,0,0,6
34,204,2,1,0,0,9,26,86,48,7,0,9,7,57,49,30,39,7,2,136,38,21,13,2,4,4,44,49,23,9,3,2,6,5,20,0,0,3,4,35,78,44,3,18,3,22,13,14,114,95,18,136,89,16,9,1,12,34,46,39,50,20,25,12,6,4,3,0,0,2,11,68,96,3,1,81,6,0,2,72,104,14,14,136,60,5,5,2,3,6,110,50,21,16,74,32,3,3,54,2,1,24,52,67,27,1,1,83,17,7,57,79,10,1,6,136,112,2,1,1,1,0,38,37,31,4,11,9,19,13,29
36,108,2,0,30,4,2,5,2,6,62,59,71,40,65,17,1,1,5,16,6,67,131,17,1,0,0,2,13,44,38,24,13,5,10,4,115,5,0,0,0,1,16,129,131,78,11,0,0,0,1,59,36,92,70,21,38,8,2,7,0,3,29,62,72,10,2,0,86,131,41,0,0,0,0,29,131,127,9,0,0,0,3,72,42,12,1,6,23,39,32,61,1,2,3,14,34,66,11,4,57,131,20,0,0,0,0,0,30,125,15,2,0,5,16,12,8,8,1,0,3,71,31,10,10,16,4,0,4,61,12,1
40,121,2,0,116,31,8,15,2,1,1,3,116,45,0,0,0,4,10,26,36,11,3,1,2,13,22,32,6,8,16,10,19,13,7,13,47,42,43,15,3,0,0,13,111,24,7,0,0,5,66,116,86,16,1,0,0,8,68,110,40,26,11,17,16,3,12,40,5,46,60,81,6,0,0,1,25,110,85,12,0,0,5,15,116,87,35,5,0,0,3,20,88,116,28,6,0,0,0,5,1,28,88,68,3,0,0,0,5,116,116,11,0,0,0,0,34,116,116,4,0,0,0,1,66,87,17,0,2,4,4,11
45,164,2,2,145,46,8,121,145,33,1,1,5,6,6,30,64,10,3,3,17,3,1,1,8,4,3,11,24,2,0,1,31,20,5,17,145,14,0,3,145,145,12,21,40,16,2,4,45,47,9,19,6,8,3,18,29,5,5,11,26,14,7,11,22,10,4,11,135,32,9,98,145,98,7,21,93,33,5,7,5,7,3,34,9,15,6,27,19,0,0,7,5,11,5,15,28,2,1,7,70,19,5,60,145,58,0,2,46,72,14,7,11,2,0,1,4,25,19,26,29,4,1,0,2,4,3,12,20,6,3,2
49,122,2,0,0,0,0,8,28,72,72,3,51,0,0,0,1,25,75,90,44,0,0,0,0,1,36,115,24,6,3,12,2,0,25,105,1,0,0,35,102,100,31,11,42,3,0,0,13,16,79,113,115,15,0,0,0,0,57,115,93,8,1,0,1,2,8,115,9,2,0,0,12,113,104,31,69,36,0,0,2,8,23,72,115,53,0,0,0,0,8,59,58,8,3,0,1,11,43,63,36,34,3,2,0,4,13,16,53,22,6,9,2,3,14,64,115,23,0,1,8,18,12,81,6,2,0,0,9,36,75,35
58,200,2,0,21,2,3,3,1,0,40,122,14,12,13,2,2,5,50,122,1,2,5,19,54,41,25,14,0,0,3,16,89,55,3,0,107,23,17,23,2,0,6,78,122,104,20,23,7,2,11,62,11,16,16,91,93,37,22,8,0,0,8,19,87,40,3,0,68,33,37,33,4,3,7,19,122,42,3,5,8,13,48,97,15,1,1,26,122,77,36,18,1,5,8,11,60,29,4,0,4,1,9,57,38,10,18,17,11,1,4,19,14,12,122,122,12,0,0,0,28,49,122,79,16,18,6,3,14,15,8,24
62,115,2,0,46,24,32,16,2,3,7,9,68,81,77,2,0,0,0,5,9,60,73,35,4,0,0,0,0,0,14,101,69,0,0,0,75,19,15,6,3,10,51,34,127,54,39,11,0,0,1,43,20,22,58,111,10,3,1,1,0,0,29,119,62,4,0,0,28,87,127,9,0,0,1,3,127,107,41,3,0,0,0,21,70,32,46,111,3,0,0,12,0,2,100,112,5,0,0,0,0,24,127,54,10,1,0,0,59,51,44,17,8,5,3,25,44,22,22,23,0,0,39,82,0,1,53,40,10,5,29,22
80,78,2,0,15,55,20,9,1,48,30,4,0,2,30,20,3,25,58,20,18,1,9,18,11,17,14,11,183,0,0,0,0,0,0,101,7,6,1,0,4,143,71,9,77,3,0,0,1,26,57,48,34,3,0,0,8,16,15,15,183,14,0,0,0,1,0,35,50,4,0,0,1,13,27,43,123,24,1,0,0,1,0,5,37,25,19,2,6,4,0,2,183,67,2,0,0,0,0,1,105,22,0,0,0,0,0,28,82,74,1,0,0,0,0,1,21,32,15,5,7,6,0,0,183,74,1,0,1,0,0,0
85,153,2,1,14,0,0,0,0,0,15,99,117,16,0,0,0,1,17,117,94,22,1,1,31,110,24,24,27,2,3,2,24,72,13,23,32,80,39,1,0,0,2,13,106,46,57,42,3,1,34,117,92,17,8,11,8,48,80,93,34,11,17,28,13,10,0,8,113,117,25,4,4,0,0,0,27,88,67,117,101,5,1,5,117,73,15,32,16,0,1,10,30,9,2,26,22,0,0,0,66,117,0,0,14,32,0,0,12,26,16,16,70,50,3,4,32,36,20,7,6,0,0,1,13,4,0,6,14,0,0,0
85,153,2,0,16,7,0,0,10,38,3,1,22,14,0,0,0,40,9,1,5,4,0,0,2,43,35,16,6,12,19,2,7,29,9,7,27,13,11,2,15,30,10,21,19,5,6,19,34,118,29,8,118,77,1,2,5,64,57,43,19,86,46,1,2,43,69,9,3,69,118,20,13,35,7,5,12,4,42,114,118,113,8,6,91,16,0,12,39,48,118,109,7,7,0,0,2,118,118,16,0,9,18,16,33,118,17,0,0,0,1,24,118,118,7,0,0,0,0,10,56,35,45,16,0,2,2,0,4,48,36,4
88,99,2,0,1,5,84,62,1,0,0,1,10,44,99,54,9,10,2,4,130,98,11,1,2,5,4,42,49,19,27,33,0,0,1,19,12,5,36,17,11,30,37,60,31,5,30,20,76,130,22,16,130,24,1,1,12,40,22,84,63,7,1,2,0,3,34,75,6,12,12,50,26,32,46,19,22,86,57,35,50,86,22,3,130,130,23,3,5,6,6,28,33,50,4,0,0,1,14,24,24,32,49,58,9,0,1,5,1,130,110,28,3,0,0,0,6,130,43,0,0,0,0,0,2,43,36,0,0,0,0,0
90,181,2,1,45,11,5,72,123,3,0,9,145,14,3,9,7,2,0,67,27,0,0,23,67,7,0,8,0,0,3,34,104,26,0,0,29,5,1,29,145,7,1,12,145,29,1,8,18,3,1,69,72,8,1,38,69,17,0,9,1,5,38,68,47,13,4,3,25,9,3,76,132,0,0,1,145,23,1,15,20,2,0,30,66,2,1,15,52,48,0,14,0,1,3,16,41,40,24,5,8,5,3,57,112,6,0,0,145,4,1,15,23,3,1,64,59,4,19,30,15,0,0,60,0,0,11,69,69,5,1,2
91,79,2,0,21,0,0,0,5,12,8,24,21,5,2,1,4,0,1,16,97,10,2,0,1,0,0,53,173,0,0,0,0,0,0,173,37,0,0,0,0,1,2,39,80,16,2,0,0,0,0,10,42,11,4,5,8,2,0,19,173,0,0,0,0,0,0,173,86,0,0,0,0,0,0,61,97,5,0,0,0,1,0,21,22,5,4,3,7,5,1,9,173,2,1,0,0,0,0,143,101,0,0,0,0,0,0,101,75,7,0,0,0,0,0,41,20,9,3,1,0,0,0,4,100,1,1,1,0,0,0,62
99,137,2,0,45,6,0,0,0,17,35,7,141,62,20,2,0,3,8,31,49,72,59,5,1,1,3,15,41,70,30,0,0,2,10,16,80,3,0,0,0,1,22,46,141,74,11,0,0,0,1,39,62,98,71,13,1,1,4,11,24,45,18,3,1,2,4,7,128,19,1,0,0,1,5,24,141,26,0,0,0,1,10,82,56,14,8,5,2,27,110,59,4,13,8,1,0,2,110,55,75,90,22,20,3,0,0,3,118,141,43,0,0,1,10,32,17,46,80,7,3,16,47,25,3,26,81,1,0,5,49,20
103,209,2,0,95,2,0,6,17,0,0,24,150,13,0,0,0,0,0,31,137,26,0,0,0,0,0,12,19,11,11,7,0,0,0,1,119,13,1,26,36,1,0,9,150,34,0,0,0,0,0,15,150,27,0,0,0,0,0,9,47,12,3,0,0,0,0,4,60,6,1,32,78,16,10,42,150,9,0,0,0,0,1,85,150,19,0,0,0,0,0,16,48,20,1,0,0,0,0,5,34,23,9,102,62,2,1,6,150,80,3,4,0,0,0,12,150,28,0,0,0,0,0,0,44,16,3,0,0,0,0,3
104,146,2,0,97,18,16,80,22,0,0,27,7,48,90,119,25,0,0,2,28,119,119,1,0,0,0,8,3,35,119,46,14,3,0,1,119,25,10,24,13,0,0,26,30,14,11,78,106,7,5,17,119,33,5,3,8,3,4,68,29,9,13,42,27,7,1,5,119,9,2,6,7,0,7,61,46,11,4,83,119,1,0,14,119,55,5,18,17,0,0,8,48,16,8,28,11,1,0,0,119,8,7,1,0,0,5,58,61,1,1,36,64,0,0,24,119,9,3,19,19,0,0,18,53,10,4,21,13,0,0,16
104,146,2,0,31,3,0,0,7,10,3,22,4,0,0,1,118,63,3,5,88,3,0,0,44,14,1,12,14,1,0,1,125,23,3,1,21,6,0,0,20,21,5,33,11,1,0,3,124,123,6,7,125,8,0,2,37,26,5,22,19,1,2,20,125,15,0,0,23,13,2,3,30,19,44,34,13,6,5,25,125,55,23,5,125,21,5,5,36,20,6,28,11,0,0,3,120,72,10,10,1,0,0,0,2,14,125,56,7,0,0,0,12,60,125,46,101,0,0,0,33,12,27,109,10,1,2,3,125,35,7,16
105,152,2,0,32,9,16,71,5,5,6,6,129,30,9,30,22,0,1,21,18,20,42,122,73,2,0,3,34,86,120,8,1,0,0,9,16,13,17,31,0,0,18,18,129,67,11,14,21,0,1,11,38,16,3,45,129,13,5,10,129,37,3,4,11,4,4,34,26,2,9,12,0,0,47,53,129,6,0,2,19,0,5,68,50,18,5,45,129,1,0,6,129,83,5,9,11,0,0,0,17,12,38,36,0,0,2,4,129,23,8,3,6,0,0,17,55,3,1,30,85,0,0,4,129,20,2,6,7,0,0,8
105,152,2,0,3,0,0,1,106,54,2,4,97,4,0,0,47,16,1,14,20,1,0,1,129,37,4,2,0,0,1,1,32,22,27,31,9,0,0,1,102,117,5,6,129,9,0,1,41,29,6,20,27,3,2,25,129,23,0,0,0,0,25,52,46,7,11,23,14,7,5,22,124,47,11,4,129,26,5,5,39,24,4,23,18,0,1,8,129,99,11,10,0,0,21,38,13,8,7,18,8,0,0,1,16,55,129,37,111,1,0,0,43,14,23,100,11,1,2,2,129,61,13,24,10,2,3,2,7,6,8,84
